Feature1,Feature2,Feature3,Target
7,506815,78179.05480546996,147107.3226617112
4,293822,70538.58887266096,127684.2317722374
8,77218,44636.9200143939,87982.24955881081
5,588518,86421.63134579912,166046.5870176322
7,771044,55814.069145361325,101011.60373787269
3,337199,53990.62995963729,99451.66881968586
7,450589,3418.8731751392233,-2436.2205503022797
8,687840,98669.29936641813,170717.7925473472
5,479446,12297.168555881819,18198.644830539684
4,463052,23113.168129673417,39629.13711082689
8,335402,5169.778554468972,4016.687274353808
8,40986,64000.332683394685,115065.11477022423
3,680520,22470.1952271503,38727.06557049745
6,348739,18001.1257462286,37948.87199990956
5,626646,8855.649566765716,13894.62399275975
2,473327,10330.985381505854,7404.847445633064
8,328073,58467.11157718882,106057.59320161698
6,598794,68820.81776587295,124123.87885651462
2,35911,39737.959108541254,67242.03248835179
5,874559,47989.76016949916,87308.84722258369
1,426037,68596.80500152482,118313.94456161301
6,731399,1738.077280568945,5161.438373140814
9,979039,32313.133393962144,71844.78179378112
1,900885,97309.77749725984,166583.0146305339
3,609746,58011.26495832383,102152.93948993711
7,13175,25422.53256729133,42405.62051387872
4,906667,52173.05249061665,92210.52856567224
9,317915,34265.414546742715,66963.32658212175
3,500876,53224.54565813102,98777.75298123095
5,914589,12574.238606513702,27349.75650475678
3,646588,13271.552110462357,24373.565322600232
7,612213,14354.321849703081,19554.38922974126
5,769734,93981.98521070498,163994.01357296907
9,67358,73289.91854424235,135713.8309169692
7,411543,16238.273228042623,30309.822802543207
2,48057,18834.989541651765,40234.046705367364
4,269294,73082.97440414014,133162.31144368625
9,791857,15616.468862832913,22617.49748643862
2,255726,23456.205877353532,39745.52450832058
9,279176,96334.68694735662,176393.09525365656
5,527486,25530.726942190708,49785.7139771364
2,979004,66163.26887387964,123864.92913375678
4,709754,97863.1308769243,171277.8920124378
7,938583,37429.739284302545,61858.671381359956
8,168292,1751.6973346071372,2312.188603555744
3,960378,24414.80462750838,51636.20491218235
1,145931,83087.7360464514,146164.54877957245
4,444676,86460.89713462007,158138.812295321
2,163491,76851.95960044267,140696.57847549164
8,382009,11311.070596675394,24378.795322368773
4,402921,79551.05761860314,151727.5654832267
2,961384,91867.78783157073,173658.24222065785
6,261910,60060.99419366935,105285.71537940731
6,24236,94087.54154627085,158898.21557674414
4,88955,82683.90568729937,145494.86106031516
6,741874,66697.18500193903,120822.23147372644
2,628433,57718.56595265114,102405.40882634376
2,671718,34857.43186683032,72924.73107493525
4,231785,15928.82859553599,28893.685493547033
8,95914,60495.43177366181,112232.29359387224
7,890302,31811.223550656585,58812.42493941857
9,208990,86643.88010889779,154357.31327856192
8,379387,99333.69440216912,169390.2850340911
5,539884,75242.801018781,135328.89564109838
2,952076,9048.260480535546,33042.143330734616
5,997261,28868.630684504253,46254.87373291849
8,657639,10911.052265611796,10918.34835623011
9,195269,65051.199728006795,126898.74052325678
9,898928,76519.10993649201,141921.2767350323
1,393417,92567.4905205881,167758.29083967576
9,981020,43817.29082396412,86202.00279497069
7,139155,90137.57482127947,158180.70246352258
9,121674,87789.12811501685,157575.29380245708
8,907739,31719.639956968178,62348.992007046836
1,782817,86890.07566399455,167348.31653429216
8,765757,37567.287620947456,62185.27464442238
8,936275,29686.99776910062,60332.40577718309
3,948479,64907.50097197342,119225.93655375707
1,964152,32838.18995038531,60409.123247840645
8,257713,63020.91181203958,113551.85165039756
3,442501,60983.2195666889,103076.81261656701
3,544351,56343.93639095314,106515.70599478082
1,68642,38042.03238130934,64601.634184725175
5,91093,54850.01731517551,93392.12415480417
7,508606,59648.587849994656,112070.05592449207
9,218215,54568.73428085849,102305.49933127867
7,956103,44442.000833174876,80889.65341777008
9,708280,1466.804237920676,8419.105732315422
8,684889,58706.212063944324,113167.30912249535
2,36954,16844.521669833448,36885.73639482791
1,28856,64257.632637122064,113039.7718798098
7,527861,75934.4568578538,142037.4775005354
7,996848,50044.58086854323,91657.87445092105
8,560655,54236.41226160733,106559.40842265506
5,496553,95147.86081874315,170910.78429240183
3,763092,84716.75142052128,151098.34037009664
8,887040,91423.6601714954,161961.12392447732
6,323918,81376.64745532982,147604.36389077146
3,24752,10891.92329283896,21960.465265070645
1,842461,14899.270697833874,29672.72917073733
3,149757,52662.427064516225,96622.10991768849
5,917714,24607.041272833943,48121.71635450014
3,314837,47669.599834568406,84858.98902265115
1,117739,39436.59294530263,66685.16022358538
5,843393,54941.46890162148,94532.20053835044
7,239009,74687.59692601066,139453.43444333656
7,781316,71549.11916083674,131551.68404214756
9,208980,52123.46112512018,84674.53117046472
3,257609,82239.35964236392,153652.41899025478
7,389822,43086.26606759417,87173.36565368278
1,337676,89671.43931258326,158000.8445088572
4,345138,7128.1198774893855,14695.985010861099
4,319277,95466.00753732774,169643.16159902813
5,519271,65469.34267382667,121260.98694024385
7,324412,38007.51288626963,62766.68474990922
7,486417,19715.492941875073,35394.86750988123
4,432459,47918.37502603704,91387.87518686059
7,189456,19455.912862697776,41314.9298493502
3,556941,16633.24414115344,32359.789048674633
6,158729,61735.21400612168,109525.52319497032
2,958456,52308.520149706004,86677.55884775276
9,940684,67009.6364514907,117326.93905648687
5,229504,92960.59478161117,165112.45558312623
6,647117,53226.068107882675,92659.81217768074
4,653665,58093.24723307444,105204.44236110208
7,996915,8962.724952860295,14942.923734292106
9,526910,71763.60682728437,130325.55415078907
7,574044,39990.58068989494,78304.2037470492
1,41809,97672.52619373403,173802.14054257446
1,542013,82317.41924216447,141531.0262496249
9,717756,52248.151803507775,90924.01325568961
9,52226,12322.353094951188,25151.2909207785
4,500512,85941.59338647958,158346.84302042663
9,606470,79978.12956429263,146321.2942008079
3,476781,18458.594495190344,39976.5471207827
7,30402,29527.899394202082,52254.60456017883
6,5263,79340.74647405792,153094.80589335086
8,752883,18522.92613189631,37832.64421794289
9,178900,91775.25714188881,152694.4755043605
5,573212,42452.800066893666,85719.93927022643
1,337326,8703.987554869605,12003.907548086681
3,225137,81574.88277556375,141785.85154873008
8,453268,37351.03095287045,70101.34526433129
6,930168,52649.96676545868,86562.12181614291
8,298881,11230.523210687476,16911.03612262939
9,364476,258.501226096754,8460.032910095193
4,352707,63798.55678080918,117806.84360044404
1,685733,51517.56551585612,97138.68333323712
1,511585,59353.8975584578,103811.25510273667
4,692757,79374.40566366659,135540.45869975936
7,391719,64660.626681694666,120140.07467361908
2,480361,17477.426805393432,36356.82953091793
3,102371,36077.31583380807,69424.32093126007
1,563997,90589.11988966556,164390.7604519873
5,193192,76994.49303069786,133866.34223789582
1,151322,55663.75012996593,112462.25917423732
8,22172,25564.574216427445,48450.25680449029
1,536843,30206.119977429316,53773.00425142693
1,997121,73195.8335627567,131406.8147255452
2,578564,85117.440967851,154254.66313249958
2,582780,67142.49981059448,126501.93096985998
6,709362,80953.0166238466,147036.25153945116
7,514319,76665.63685442708,142568.87160520625
5,781298,14970.481825298977,28109.504725004197
1,877031,42394.538896848906,76189.91605697612
1,990859,15298.464784476184,31241.918078699076
3,223320,23523.63495664,45479.63309032099
2,418978,86925.97553914279,155834.07437498125
5,12046,47289.24927412165,81395.63690484768
6,229071,53535.8566484559,98205.72204092279
7,379165,17844.678678180688,32722.74746553821
4,947273,31227.247377700995,53920.32321600801
7,709662,23024.693818170148,37608.277460022284
8,417366,20618.695833226186,39398.71471927941
1,986751,63796.115535517674,118079.85874907028
6,267997,25688.459076186715,44591.06426386179
8,646188,63201.58540049324,111210.26254132322
5,483615,5845.555565393979,6627.53157252321
4,416008,14177.525175270834,27650.824011212095
2,584417,27454.097945987134,45695.69943457316
6,762379,59704.73198487747,119073.37991788311
6,206550,67584.1569246131,119721.35028444859
1,245883,44271.752406256026,67689.02444189785
9,639418,44579.146878631436,80438.31504839091
6,461514,72451.71268817667,130296.672439624
3,950491,1582.2075944490673,8890.812007629263
4,672210,34109.0683384196,63185.05919279381
4,930616,81870.72384121756,143675.4349969926
3,122789,60321.9806993962,107218.00039142928
3,680418,33722.77955282876,62687.31105334671
3,701780,90552.48868048815,152530.79837332663
4,564178,77262.2954826655,146059.32954075016
7,67017,26489.618234128615,43579.97189240819
4,179376,64529.01922358793,123339.14170719637
9,689281,59575.113243822845,109569.17004451406
1,500137,40118.85128510686,75614.97149516222
8,657884,36695.671224872145,72152.26738477622
7,625712,34356.11312152291,65040.519882203735
2,802480,61715.61662398634,114859.78100476267
8,953615,44241.0494070733,79312.61423042502
1,694264,83186.32813883088,151946.3660572561
9,842344,66960.29465313458,118039.21330078354
9,559296,6993.253577782842,11177.448942069277
2,394276,64016.858365994216,125256.95829863414
7,731026,27114.816535274826,45152.21483824258
3,608847,59281.2398841431,107791.24092463899
7,56337,68013.22509715203,123040.31885845102
9,898048,23082.995832482287,40471.64413956412
4,276494,45685.918802172375,84956.90552676246
1,25354,19032.567249420496,37222.90851266381
2,46186,5233.9823447632525,4821.165304835959
1,553433,37847.70450094456,68912.36815943295
5,428236,36294.49089017201,60147.36490844784
5,611411,99548.04952237663,183449.93773186445
7,500883,44635.29048452909,81497.40092396548
9,731546,33357.02159026509,60847.0612960626
9,741829,58047.54262416679,108178.64796786224
3,545869,8876.830534037435,14882.678008925379
3,614217,96166.57742890772,177986.0576681249
3,286195,63496.041063098746,109702.74704979706
4,576762,75483.80651030278,143230.61531301762
8,617036,17047.876769597933,28264.140272502013
6,126995,40947.84435273508,65306.721996445216
8,246690,42268.96907070761,74588.81478496004
1,332770,82180.6622094643,145884.73599076472
8,794392,123.7678522729683,-1036.3917966588394
4,429988,30085.38075001467,55538.919427446315
1,940024,98123.63931079295,182584.77456386865
8,181553,47488.706861967505,84635.91928205582
4,561696,38252.6897717728,65689.60174009654
6,881438,11982.988218864433,16395.363732536996
8,260568,97416.4654463387,173163.00784686444
4,320278,2002.733589946854,-5662.064734347427
3,152563,73718.04878270181,129152.10384128147
9,657701,76860.00361887037,144924.12649327758
3,700983,24365.747240715053,40101.040510394974
9,615615,67155.87720545937,124358.9657738284
2,394554,9293.005145024556,10798.275812001752
2,203503,25704.80093848134,55231.87268581918
2,144326,78790.22003902767,151088.59273557336
6,708220,86468.63273473483,158970.75670532204
3,12344,60848.68041733786,119499.05975942577
9,395966,50683.892498205074,93234.95437140744
4,973260,15930.486131495967,33016.09060744052
1,593245,6310.996997011709,17969.08647827875
4,106423,11764.991082453014,22140.787713907674
1,321197,22735.807273879866,33326.16428505845
5,465071,34167.51602224189,65693.8811162074
4,672256,38091.014460146165,66552.65605609577
8,187833,34632.242226723494,60468.303403324986
8,718912,23905.609314193338,44903.02734794146
7,776435,50972.473702745134,94991.07456352809
3,78454,82528.62829467886,149350.43110045305
1,258594,27970.42587679407,53657.711259015865
1,512897,94238.7076715214,166354.83663843755
3,353744,87333.67883871861,157172.97493607708
6,910164,16176.504958789825,33836.21817807604
7,517142,78627.61704811378,150673.23756878838
6,946439,57458.78077303842,114549.20283633521
6,38641,56657.579559605634,104185.8471209288
6,554999,39104.33720154113,74883.35559650208
3,857774,50115.34980290105,100553.41246929785
6,370040,39717.93802504336,68341.12826141059
8,668542,53973.307902732406,100658.72448848124
2,613121,62795.0424822583,117185.35171549568
5,319420,67430.4132105242,128788.7609593273
1,282685,53248.166007823354,90305.33441140094
1,881889,72142.23459066644,125602.93784419702
5,476526,14127.890799745652,25790.377495065703
3,45813,21198.32789197476,40077.53501716274
4,693558,81873.5185339266,153345.43212973693
3,665180,32252.86553184373,60984.466836380074
1,287214,2289.480208229527,3510.6052242617297
1,988272,15379.199587688141,30262.002481619355
5,929626,22361.52108818767,42235.77334011007
6,343703,95732.29305716993,181233.0611528448
3,205615,57304.18558894203,104087.63627793832
9,477657,93273.08077455143,166241.95682642978
5,567074,57516.37753332744,106076.06171034854
8,751294,47935.49607834116,87675.96653770674
1,756164,31372.83774664048,48997.22316557951
5,400953,60637.13380624311,109284.05704312677
3,823494,13919.888541950522,24972.855148480914
1,972741,89826.17290310787,159457.12239669758
4,839003,82933.25758088786,154889.28158371302
5,288654,31753.21303452891,53386.712479092064
7,282570,95279.75748037668,173943.9415623007
1,38265,82520.09422148007,147819.01709944548
3,936354,66630.7219528154,120950.95154330162
2,250321,12176.278936336366,24107.394040634797
9,67150,47823.454481404915,79604.92114707384
6,612600,50610.804873919595,92382.0532317292
3,90613,23255.21258140217,53358.42659508994
8,338054,7996.631439390759,6803.146861509745
8,839807,77672.38537480622,139966.15735607367
2,122826,12203.59300893429,27650.07704020082
6,560723,59429.11562710241,108778.86586855233
7,883875,93644.92374344867,172463.63499878778
2,451348,87610.531649285,146052.30091324993
2,211017,27775.334599663736,53098.35765254448
1,135055,85144.87861026278,149522.867967305
8,491457,33.35057879832859,1879.1459647527247
1,677022,1768.8791925447606,3378.3198920331147
9,810942,60255.3561289701,120283.77717795435
6,734547,36479.88543463103,68782.54390116523
7,697358,38646.1454698306,69369.62169938115
7,451062,56444.15262377918,94297.54192653476
3,95071,19178.326380940496,35183.25749494238
2,794072,21175.613891012767,42635.28539555709
9,307691,48460.210241727764,87006.46447601386
8,842052,75425.37900903187,133682.42641657015
7,147389,61949.81319098362,108741.42492453892
9,640896,29735.575088179063,56547.190335998916
4,270708,43033.77471717437,81405.08818745965
4,683705,17066.558788523984,37879.70889594877
1,639112,7463.073970726738,8781.089681256339
8,255444,78269.62580481084,143666.93624074763
3,604561,26538.814380078536,47472.62661205203
7,862291,17776.721008486034,31989.072292108456
2,212837,69161.83639512637,126612.85328139749
2,111017,61805.20562355116,113349.15989051682
7,992542,63318.999282383804,117135.3102372487
6,124618,22889.537595200873,35994.12071038253
3,970897,23264.63059171424,38621.72652925334
9,460297,22080.340898300932,47431.1034945301
6,126341,17375.34219096988,30253.924106341587
6,816862,65572.40168379838,119986.82602092656
1,731892,84801.60372335161,158285.16426224884
4,553076,72431.77453591916,132982.9475264586
6,751865,79209.38416669094,145703.4371549039
6,442759,40479.902428677065,77576.09226783749
5,932423,65407.61412962027,107631.5981288315
1,856778,35423.688620853405,61744.27774173346
8,883554,52550.5096464018,97399.7233460212
5,565262,48163.53649000158,93930.21821729113
5,894741,17688.79682567092,32632.682584486523
7,541659,38707.937325687046,65742.53437745622
4,832516,96382.23116600755,169825.84385076107
6,423845,24858.100913468432,49393.81016150855
4,707544,13380.460247575244,23361.732533676004
3,325060,41858.12030433136,75480.14631884477
7,599260,79033.79455224122,145656.6111628958
8,194259,58214.86476317424,90400.26766024574
4,276128,68097.51462634173,132727.4278849555
2,820471,18969.5658479829,30906.08485111392
3,610719,61894.85740595285,112934.78467808299
1,871123,32350.10714110788,50145.269286512834
8,846038,83430.35316514016,148508.94914522712
3,404832,62929.91767119301,119708.7080399729
7,890097,19885.70789190181,26679.48680709386
5,630661,6461.76152274063,17592.50167687884
5,182144,4263.416665382345,6411.7415165263
7,812006,37140.91962415731,69716.48052458411
9,921934,26585.18708031768,51628.925811997375
5,251195,64609.047737238456,118643.99092448385
1,144748,49933.43356447833,85630.80115790686
1,405032,26602.00119861027,46266.37242482337
2,33733,14923.862871239817,19578.038781977593
6,742040,12720.06354876869,25744.116045724044
9,527338,86466.05274800255,164439.83971648422
8,110996,24347.87249268988,34783.46405345947
5,559221,65171.09962003204,113794.36028536748
1,550239,81068.61173003382,145292.74423464623
7,557701,61408.16971034248,111701.26309718424
5,166873,85956.53720817142,159216.0849818807
6,711979,39239.43291347529,70243.96884246719
7,951417,95622.22344267576,171036.91706458814
3,900005,13314.587103309275,29940.912816305397
3,434816,10215.042750800843,21923.462786758046
5,714135,65869.24875152974,121631.60513125903
6,222888,94283.11985821203,170401.63830272222
9,786332,80888.36527528665,150934.98455011524
5,746453,7641.778302119199,10861.880487663226
1,768950,27936.84345670024,46710.321811130045
4,167472,93031.89545189388,171283.65274775564
5,398710,25305.917974235173,37639.82750738878
5,212760,78117.06426164955,141192.99321915163
7,123744,82513.23707965079,147023.9069820589
4,876863,49545.26080088783,82603.12728833331
1,731051,38634.95234994056,65255.10183131169
5,502946,45012.49822953272,80744.08935168215
7,44001,22696.546740066977,46066.60091461567
6,592652,88939.10267379282,157139.92085653802
5,912420,45062.02061101011,87649.75409934318
4,832460,88245.95579966594,159586.84657718128
2,239506,10569.437421279417,25702.663869152806
4,754019,98827.52827248603,175256.10234657463
3,431789,44327.364417053075,79770.1025101687
1,657166,4783.177256328508,10783.720078076292
8,911775,3802.2810215606673,6426.4410251016425
5,712998,74620.7511274581,139453.97176515078
4,653589,65903.58751681466,107927.43340381506
8,913727,80213.07559970293,156976.427273415
7,500722,10536.8428585272,23526.551180324772
2,686117,3557.183146468131,5884.329018467554
1,559924,50857.978086828894,89065.71418840528
4,736457,38759.5843887538,65815.37734251407
8,180352,46194.747472401905,86492.79882117212
2,811694,99158.84172818651,183872.6704546975
3,867867,97074.99869207125,174365.30050507878
1,194283,94231.54473578032,175251.87408929708
1,973346,78384.28929249971,137045.09349269388
3,916015,35484.20054155301,58919.51422486123
5,451195,41213.15181318413,83490.97678995918
3,770884,54961.64941028807,102280.95400621124
1,999974,83053.46258703835,156983.46066573565
1,432413,6871.376380543525,8317.985443039881
8,304988,42429.74615880022,71932.41012699675
2,327898,8261.858084160524,13248.246954201233
3,952661,51465.807191592496,89003.48923717144
2,864561,89890.09251054114,165767.2730701163
3,303186,78248.51420790133,137252.28828959016
7,62665,22784.31897006924,35205.75735578818
1,247584,97599.08736079429,176515.22631070588
8,117953,66735.07306960304,113756.1771461594
2,477072,1042.868896970367,-6875.6196428302865
3,683736,25541.42292717348,46991.715438218656
9,187626,26071.403920661658,38303.23984213994
7,146271,6925.523703155365,16436.475147156772
4,119533,95982.65582494109,165863.87835363
5,999916,47825.58163206292,75397.63600561452
2,969452,89581.47015572846,160268.38902960723
8,599069,32221.61812291249,59045.4196377249
4,466966,12523.444519925668,25245.058454275906
9,67262,47433.6635570104,86301.30389769799
5,834032,11395.752075768245,15647.806630794128
9,77898,48601.60169620369,91114.13795779966
4,456699,92029.72609222266,170694.54899839952
5,150369,52076.862106607085,87799.72564961507
9,555736,61650.01103953565,110369.8571778661
8,289316,15663.928033537133,26991.528324821742
3,961378,4373.658214434361,9464.18169992202
1,8657,11080.885137184487,18928.30278806153
3,478602,59853.19771527899,107644.66802713732
4,781977,9501.260398060567,20714.334867717476
2,943929,37599.351394842146,62587.53151271019
1,945189,55009.23903662155,103179.09044222292
7,375999,38865.340997704836,75872.27695352497
8,943082,16368.46377815,38129.450768114344
7,685191,27379.2033722799,38929.32494941703
5,8906,92831.76045310442,166202.11353001188
1,324557,67598.25996040799,112016.64355696645
7,579316,49604.834263204786,77424.0412249045
7,794719,1271.587727200353,3427.6826469980274
9,296804,99241.54080740697,176814.41648908073
3,469974,67145.52634397084,122605.18917800122
9,847936,31692.316042246755,59927.77532648074
1,716080,87926.87807291783,164868.9003217917
1,628267,25843.236186019778,47104.560761364504
4,35701,54401.703516617235,112569.69491650647
9,84300,63607.11276590613,116094.00225355709
6,766537,22106.415039035695,49405.21079310031
3,674034,97839.7300403317,164793.34206997583
1,84560,74819.21577870916,141468.5660494296
4,243615,55781.366769784436,99636.46523663418
9,942378,18059.541758070267,23263.62786739012
3,44642,5385.915313981913,11828.694111308041
9,518083,32006.05124611509,56382.15605308557
7,492036,75318.75827260669,138741.04913293276
4,328304,26933.202897072675,53711.29950248621
3,805034,53955.668093928456,90085.96898526324
5,366464,72794.74487835665,136303.36769331776
5,614089,10794.46067027497,19784.47112759853
3,289075,68529.83308178573,130271.4429206807
9,95377,9187.179583915698,15585.870606058917
4,816624,96512.97769972544,171791.6273968487
5,833974,48839.46416708095,88478.29270419046
4,914447,15067.695703376967,28100.379297977808
5,829952,34238.42936499104,58745.2248495252
7,327916,41341.70358788121,72118.50080340976
9,452978,75818.52528915263,130592.45684790579
7,313250,74342.40426528233,131820.72722855723
5,606409,61194.08933968256,113849.11561141652
7,26559,10593.16066277804,18415.197823469753
5,893027,15157.022001830199,32789.479583531
3,559030,9375.7826888636,16237.77650168911
7,857101,57717.32061147667,97183.13761204144
2,998703,87713.85643729624,161376.66752491615
9,678114,43380.10784542595,75082.13541659969
1,136044,16084.901310957224,27857.00791590533
6,858263,55804.276710664184,107082.68981661611
7,113217,81175.2405113493,140388.6891218212
8,567161,74171.23198008686,134639.51700147826
9,893964,88145.08982242417,158932.55193018453
2,913699,27790.281934677056,53989.98555960422
2,404119,19395.467331390755,39395.66752391348
5,659380,87981.66061254528,160030.87412382598
5,829187,65756.06552177103,116988.63820628586
6,873388,31092.961907862413,58788.887954282145
3,87988,74234.83082244586,140353.96896612537
8,570936,81511.85693619834,146894.3607869585
1,126991,61497.8625362892,109426.36749320543
6,403732,68788.44219958053,125979.9132475849
4,507079,37526.05291827618,68006.06985474519
1,902437,53869.61286473717,90730.97453693792
7,527684,52415.96465669915,95830.23238404588
9,85082,84804.79430829808,145984.35871111773
4,937633,83996.41403182023,153546.76498931865
4,129322,83268.06366665738,145973.46197795044
6,657951,1103.260323085153,2517.218102485005
3,12303,74954.57349234038,136886.35331720885
6,162633,75867.66314346147,148930.62688794849
7,334863,67837.9144476319,126010.42731467205
3,250690,75626.49016267947,143086.02134153474
7,785108,84197.05295263372,161326.98840821034
3,100616,47031.95837827315,87163.1126658889
